state,year,month_name,pollutant_value,temperature,humidity,wind_speed,precipitation_total
Johor,2014,August,40.0,26.354166666666668,89.16666666666667,6.958333333333333,
Johor,2014,December,35.75240054869685,26.43800539083558,87.52291105121294,8.002695417789758,
Johor,2014,November,40.158647140864716,26.92737430167598,86.70949720670392,6.601955307262569,
Johor,2014,October,55.47262149212868,27.450608930987823,84.53179972936401,6.672530446549391,
Johor,2014,September,54.02914001421464,27.297316384180792,84.26694915254237,7.503531073446328,
Johor,2015,April,45.838818249813016,27.840306834030685,85.0,6.974198047419804,
Johor,2015,August,56.33064516129032,27.367676767676766,85.91986531986532,8.01010101010101,
Johor,2015,December,39.41935483870968,27.608607935440485,85.67720242098184,8.586415601882987,
Johor,2015,February,44.79365685899885,26.55198204936425,80.97083021690352,11.700074794315633,
Johor,2015,January,44.99012597889002,26.460969044414536,81.26043068640647,11.480484522207268,
Johor,2015,July,52.28225806451613,27.614401076716018,85.27860026917901,7.510094212651413,
Johor,2015,June,42.92131147540984,27.744961779013202,85.58651841556636,7.446143154968729,
Johor,2015,March,46.33220338983051,27.650269541778975,81.96293800539084,8.914420485175203,
Johor,2015,May,45.904311251314404,27.479811574697173,87.89973082099596,6.501345895020188,
Johor,2015,November,47.516666666666666,27.0452016689847,88.38734353268428,6.075104311543811,
Johor,2015,October,87.6774193548387,27.617350369872227,85.74781439139207,6.739744451916611,
Johor,2015,September,92.55,27.31063238359972,86.58026407227241,6.978457261987491,
Johor,2016,April,48.025,28.976388888888888,84.14930555555556,7.15,
Johor,2016,August,51.08064516129032,28.24478816408877,83.37794216543377,7.163416274377942,
Johor,2016,December,33.903225806451616,27.071236559139784,87.16397849462365,7.564516129032258,
Johor,2016,February,38.474137931034484,27.751436781609197,83.43175287356321,12.595545977011493,
Johor,2016,January,34.0,28.22252191503709,84.04989885367499,10.068105192178017,
Johor,2016,July,44.32258064516129,27.756720430107528,85.98924731182795,6.889112903225806,
Johor,2016,June,47.275,27.604166666666668,87.49097222222223,6.001388888888889,
Johor,2016,March,42.17741935483871,28.620218579234972,81.69535519125684,9.982923497267759,
Johor,2016,May,43.57258064516129,28.797442799461642,85.10161507402422,6.467698519515478,
Johor,2016,November,35.458333333333336,26.99581589958159,88.88214783821478,6.376569037656904,
Johor,2016,October,43.21774193548387,27.530913978494624,86.2385752688172,6.455645161290323,
Johor,2016,September,45.81666666666667,27.4221140472879,86.53824756606397,6.752433936022253,
Johor,2017,April,34.43222506393862,,,,
Johor,2017,August,25.59911385089578,,,,
Johor,2017,December,22.179163746788134,,,,
Johor,2017,February,38.347467166979364,,,,
Johor,2017,January,34.43784340659341,27.546296296296298,87.71296296296296,7.106481481481482,
Johor,2017,July,26.676150009237023,26.915873015873014,88.14761904761905,6.79454253611557,
Johor,2017,June,25.81224127735068,27.091911764705884,87.50735294117646,6.154411764705882,
Johor,2017,March,40.46860908775581,,,,
Johor,2017,May,25.521963824289404,,,,
Johor,2017,November,21.499443207126948,,,,
Johor,2017,October,28.27601489097678,26.939705882352943,87.11764705882354,5.975,
Johor,2017,September,25.847578870139397,26.849933598937582,87.7127659574468,6.456233421750663,
Johor,2018,April,24.96588486140725,27.542361111111113,85.14930555555556,7.3875,
Johor,2018,August,45.35841685068796,27.30452961672474,85.39581881533101,7.480836236933798,
Johor,2018,December,43.21287801563031,26.858103564223267,88.27505043712172,6.858103564223268,
Johor,2018,February,26.64041167821886,26.409387222946545,80.22816166883963,12.48041775456919,
Johor,2018,January,17.753366406803686,26.90277777777778,85.52916666666667,8.45138888888889,
Johor,2018,July,28.216998807698857,27.3133514986376,86.4182561307902,7.213896457765667,
Johor,2018,June,25.31775532298809,27.053472222222222,87.78680555555556,6.611805555555556,
Johor,2018,March,22.310118731171364,27.211805555555557,84.22222222222223,7.836805555555555,
Johor,2018,May,24.844162523572777,27.450940860215052,87.02284946236558,6.360887096774194,
Johor,2018,November,47.20332618025751,26.6556338028169,89.64929577464788,5.927464788732395,
Johor,2018,October,53.454943574195724,26.609543010752688,89.8736559139785,5.995295698924731,
Johor,2018,September,57.51293103448276,26.572331460674157,87.63553370786516,6.186797752808989,
